gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000009782	1.72	0.78	1.11	3.08	2.57	1.4	3.96	3.41	3.72	2.36	3	2.46
ENSDARG00000009783	16.96	24.3	20.35	14.95	11.93	17.4	16	15.37	10.25	15.14	15.74	10.86
ENSDARG00000009796	60.09	50.1	60.52	69.38	70.6	55.3	48.45	49.86	43.77	55.62	53.68	66.47
ENSDARG00000009806	13.39	22.11	16.46	19.58	15.4	15.39	14.01	21.47	18.26	15.11	17.95	20.22
ENSDARG00000009822	7.68	4.01	4.34	15.52	5.59	2.13	8.6	18.32	5.82	18.55	8.53	6.22
ENSDARG00000009823	5.94	8.12	9.29	58.31	22.7	5.55	6.29	26.11	27.73	43.56	26.27	9.46
ENSDARG00000009825	1.04	1.2	1.06	0.65	0.24	0.24	1.12	4.72	0.86	1.56	0.72	2.31
ENSDARG00000009830	28.37	27.84	30.56	35.74	39.25	24.19	54.46	57.72	156.59	35.25	34.86	35.84
ENSDARG00000009837	7.96	10.53	11.39	11.29	10.95	12.49	9.76	9.76	10.99	11.32	12.54	11.08
ENSDARG00000009839	5.51	2.33	3.25	8.17	8.33	2.72	6.69	12.15	11.31	13.91	9.99	6.79
ENSDARG00000009844	0.68	0.47	0.44	0.53	0.44	0.29	1.42	0.82	2.28	1.24	0.34	0.99
ENSDARG00000009851	24.11	26.29	22.34	19.17	17.17	29.15	15.75	19.4	15.6	18.91	18.94	21.26
